nome,endereco,latitude,longitude,cidade
Park Mall,"Avenida das Castanheiras, s/nº - Águas Claras, Brasília",-15.8345604,-48.0088632,Brasília
Águas Lindas Shopping,"Av. Santa Luzia - Mansões Centroeste, Águas Lindas de Goiás",-15.735514,-48.2741702,Brasília
Shopping Center Lapa,"R. Portão da Piedade, 155 - Dois de Julho, Salvador",-12.9831679,-38.5138367,Salvador
Shopping Paralela,"Av. Luís Viana Filho, 8544 - Alphaville, Salvador",-12.9365263,-38.3949236,Salvador
Shopping Barra,"Av. Centenário, 2992 - Chame-Chame, Salvador",-13.0058233,-38.5239368,Salvador
Salvador Shopping,"Av. Tancredo Neves, 3133 - Caminho das Árvores, Salvador",-12.9778603,-38.455251,Salvador
Shopping Piedade,"Rua Conselheiro Junqueira Ayres, 165 - Dois de Julho, Salvador",-12.9835518,-38.5130701,Salvador
Shopping Itaigara,"Av. Antônio Carlos Magalhães, 656 - Itaigara, Salvador",-12.9967752,-38.463857,Salvador
Shopping Bela Vista,"Alameda Euvaldo Luz, 92 - Horto Bela Vista, Salvador",-12.9699536,-38.4746357,Salvador
Salvador Norte Shopping,"BA-526, 305 - São Cristóvão, Salvador",-12.9083785,-38.3513333,Salvador
Tropical Shopping,"Alameda Dilson Jatahy Fonseca, 30 - Stella Maris, Salvador",-12.9390369,-38.3419104,Salvador
Stella Mall,"Alameda Dilson Jatahy Fonseca, 521-603 - Stella Maris, Salvador",-12.9391852,-38.3422759,Salvador
Shopping Cidade,"Av. Antônio Carlos Magalhães, 1298 - Itaigara, Salvador",-12.9956307,-38.46917639999999,Salvador
Shopping da Bahia,"Av. Tancredo Neves, 148 - Caminho das Árvores, Salvador",-12.9812172,-38.4649511,Salvador
Shopping Paseo Itaigara,"Rua Rubens Guelli, 135 - Itaigara, Salvador",-12.9954358,-38.471113,Salvador
Boulevard Shopping Camaçari,"BA-535, s/nº - Industrial, Camaçari",-12.7119484,-38.3057508,Salvador
Shopping Liberdade,"Estr. da Liberdade, 405 - Liberdade, Salvador",-12.9518961,-38.4995256,Salvador
Villa Norte Shopping,"Av. Luiz Tarquínio Pontes, 2899 - Vilas do Atlântico, Lauro de Freitas",-12.875485,-38.3054302,Salvador
Shopping Apipema Center - Garden Apipema,"Rua Professor Sabino Silva, 836 Apipema Center - Jardim Apipema, Salvador",-13.0060968,-38.5181897,Salvador
Shopping Vasco da Gama,"Av. Vasco da Gama, 2335 - Engenho Velho de Brotas, Salvador",-12.9900936,-38.5033388,Salvador
"Shopping Benfica: Lojas, Cinema, Restaurantes, Supermercado, Benfica Fortaleza","R. Carapinima, 2200 - Benfica, Fortaleza",-3.7390903,-38.5402134,Fortaleza
Shopping Rio Mar Fortaleza,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza",-3.7418185,-38.4702255,Fortaleza
North Shopping Jóquei,"Av. Lineu Machado, 419 - Jóquei Clube, Fortaleza",-3.764657199999999,-38.57461929999999,Fortaleza
Shopping Parangaba,"Rua Germano Franck, 300 - Parangaba, Fortaleza",-3.7756994,-38.5620002,Fortaleza
Shopping Aldeota,"Av. Dom Luís, 500 - Aldeota, Fortaleza",-3.7336305,-38.4968134,Fortaleza
Via Sul Shopping,"Av. Washington Soares, 4335 - Lagoa Sapiranga (Coité), Fortaleza",-3.7946075,-38.4795714,Fortaleza
Grand Shopping,"Av. Frei Cirilo, 3840 - Messejana, Fortaleza",-3.8180754,-38.4973158,Fortaleza
North Shopping Fortaleza,"Av. Bezerra de Menezes, 2450 - Pres. Kennedy, Fortaleza",-3.7350579,-38.5660305,Fortaleza
Reserva Open Mall,"Av. Washington Soares, 3000 - Eng. Luciano Cavalcante, Fortaleza",-3.7837678,-38.48212789999999,Fortaleza
Shopping Del Paseo,"Av. Santos Dumont, 3131 - Aldeota, Fortaleza",-3.736222999999999,-38.49675999999999,Fortaleza
Shopping Jardins Open Mall,"Av. Des. Moreira, 1011 - Aldeota, Fortaleza",-3.7349237,-38.4974725,Fortaleza
Iandê Shopping Caucaia,"Av. Edson da Mota Correa, 620 - Centro, Caucaia",-3.7340476,-38.6559035,Fortaleza
Salinas Casa Shopping,"Av. Washington Soares, 909 - Edson Queiroz, Fortaleza",-3.762288299999999,-38.4822996,Fortaleza
Shopping Buena Vista,"Av. Washington Soares, 1500 - Edson Queiroz, Fortaleza",-3.772219,-38.4829097,Fortaleza
Shopping Center Um,"Av. Santos Dumont, 3130 - Aldeota, Fortaleza",-3.7373679,-38.4974441,Fortaleza
Buena Vista Open Mall,"Shopping Buena Vista, Av. Washington Soares, 1500 - Edson Queiroz, Fortaleza",-3.7719817,-38.4824872,Fortaleza
Shopping Eusébio,"Av. Eusébio de Queiroz, 1890 - Tamatanduba, Eusébio",-3.8715671,-38.4666,Fortaleza
Cambeba Mall,"Av. Ministro José Américo, 660 - Cambeba, Fortaleza",-3.8107264,-38.4938729,Fortaleza
Boulevard Shopping Belo Horizonte,"Av. dos Andradas, 3000 - Santa Efigênia, Belo Horizonte",-19.9206819,-43.9201173,Contagem
DiamondMall,"Av. Olegário Maciel, 1600 - Santo Agostinho, Belo Horizonte",-19.9279851,-43.9474041,Contagem
Viashopping,"Av. Afonso Vaz de Melo, 640 - Barreiro, Belo Horizonte",-19.9750368,-44.02002280000001,Contagem
Shopping Estação BH,"Av. Cristiano Machado, 11833 - Vila Cloris, Belo Horizonte",-19.8206744,-43.9462932,Contagem
Shopping Del Rey,"Av. Presidente Carlos Luz, 3001 - Pampulha, Belo Horizonte",-19.8905556,-43.9680556,Contagem
Shopping Cidade,"Rua dos Tupis, 337 - Centro, Belo Horizonte",-19.9217918,-43.9401273,Contagem
Minas Shopping,"Av. Cristiano Machado, 4000 - União, Belo Horizonte",-19.8747536,-43.9262403,Contagem
Shopping Contagem,"Av. Severino Ballesteros, 850 - Cabral, Contagem",-19.8805258,-44.0382207,Contagem
BH Shopping,"BR-356, 3049 - Belvedere, Belo Horizonte",-19.974579,-43.9438894,Contagem
Partage Shopping Betim,"Rod. Fernão Dias, 601 - Km 492 - São João, Betim",-19.962522,-44.160472,Contagem
Centerminas Mall,"Av. Pastor Anselmo Silvestre, 1495 - União, Belo Horizonte",-19.874947,-43.9231452,Contagem
Gutierrez Mall,"Rua André Cavalcanti, 211 - 235 - Gutierrez, Belo Horizonte",-19.9334401,-43.9568045,Contagem
Central Park Shopping & Residence,"R. Úrsula Paulino, 1321 - Betânia, Belo Horizonte",-19.9596068,-43.9868611,Contagem
Shopping Oiapoque,"Av. Oiapoque, 156 - Centro, Belo Horizonte",-19.9132561,-43.9392743,Contagem
ItaúPower Shopping,"Av. General David Sarnoff, 5160 - Cidade Industrial, Contagem",-19.9468559,-44.0224559,Contagem
